id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
74,22901792157,Microsoft Surface Laptop 2,99,88,300,MITRE,USADA,i7-8650U,,LPDDR3,8GB,256GB,,WIN10,"13,5''",2256x1504,Intel UHD Graphics 620,,NO,Inglés,Silver,80%,5-6HS,3 meses,,#N/A,TRUE,,,,Dell,,FALSE
75,403JHM2,Dell Latitude 7389,96,79,350,LA PLATA,USADA,i7-7600U,,LPDDR3,16GB,256GB,,WIN11,"13,3'' touch",FHD,Intel HD Graphics 620,1GB,SI,Inglés,Negra,,,3 meses,,,TRUE,,,,Microsoft,,FALSE
76,JVGC6Y2,Dell Latitude 7390 2-in-1,164,92,350,LA PLATA,USADA,i5-8350U,,LPDDR3,8GB,256GB,,WIN11,"13,3'' touch",FHD,Intel UHD Graphics 620,1GB,SI,Inglés,Negra,70%,6-7HS,3 meses,,,TRUE,,,,Dell,,FALSE
77,BMVC0N2,Dell Latitude 7480 (1),100,81,330,LA PLATA,USADA,i7-7600U,2,DDR4,16GB,256GB,,WIN10,"14""",FHD,Intel HD Graphics 620,1GB,SI,Ingles,Negra,100%,7-8HS,3 meses,,,TRUE,,,,Dell,,FALSE
78,6RSSGH2,Dell Latitude 7480 (2),67,81,330,LA PLATA,USADA,i7-7600U,2,DDR4,16GB,256GB,,WIN10,"14""",FHD,Intel HD Graphics 620,1GB,SI,Ingles,Negra,100%,7-8HS,3 meses,,"No tiene analog, detalles esteticos en la tapa.",TRUE,,,,Dell,,FALSE
79,1KRKL13,Dell Latitude 5500,154,100,330,LA PLATA,USADA,i5-8365U,2,DDR4,16GB,256GB,,WIN11,"15,6''",FHD,Intel UHD Graphics 620,,SI,Inglés,Gris,73%,4-5HS,3 meses,,,TRUE,,,,Dell,,FALSE
80,761NZY2,Dell Latitude 7400 ,100,50,270,LA PLATA,USADA,i7-8665U,,DDR4,16GB,256GB,,WIN11,14'',FHD,Intel UHD Graphics 620,1GB,SI,Español,Gris,58%,-,3 meses,,"Detalles esteticos en tapa, pintura levantada",TRUE,,,,Dell,,FALSE
81,36112191153,Microsoft Surface Pro 6,205,92,370,LA PLATA,USADA,i7-8650U,,LPDDR3,8GB,256GB,,WIN10,,2736x1824,Intel UHD Graphics 620,,SI,Inglés,Plateada,100%,6-7HS,3 meses,,#N/A,TRUE,,,,Dell,,FALSE
82,7RCVN73,Dell Latitude 5411 (10),56,0,375,LA PLATA,USADA,i7-10850H,2,DDR4,16GB,256GB,,10 PRO,14'',FHD,Comet Lake-H GT2,1GB,SI,Español,Plateada,95%,4-5HS,3 meses,,,TRUE,,,,Microsoft,,FALSE
83,BVLS8C3,Dell Latitude 5411 (9),56,54,400,LA PLATA,USADA,i7-10850H,2,DDR4,16GB,256GB,,10 PRO,14'',FHD,Comet Lake-H GT2,1GB,SI,Español,Plateada,100%,3-4HS,3 meses,,Detalles esteticos en teclado y tapa.,TRUE,,,,Dell,,FALSE
84,MJ0DMMXV,Lenovo ThinkPad X1 Carbon G8,257,106,435,LA PLATA,USADA,i5-10210U,,DDR4,16GB,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,SI,Ingles,Negra,92%,,3 meses,,,TRUE,,,,Dell,,FALSE
85,4TY9L13,Dell Precision 7740,303,176,599,LA PLATA,USADA,i7-9850H,2,DDR4,32GB,256GB,,WIN10,"17,3''",FHD,NVIDIA Quadro RTX 3000,,SI,Inglés,Gris,100%,7-8HS,3 meses,,,TRUE,,,,Lenovo,,FALSE
86,C02FF0GJML85,MacBook Pro 2020 A2251 (15),188,102,650,MITRE,USADA,"i7 2,3 Hz",,LPDDR4X,16 GB,500GB,,MacOS,13-inch,FHD,Intel Iris Plus Graphics,"1,5GB",SI,Español,Silver,100%,5-6HS,3 meses,,,TRUE,,,,Dell,,FALSE
87,C02FPBGTMD6M,MacBook Pro 2019 A2141 (79),325,94,750,LA PLATA,USADA,i7-9750H 6C,,DDR4,16GB,500GB,,MacOS,16'' ,3072x1920,AMD Radeon PRO 5300M,4GB,,Inglés,Silver,,,3 meses,,Aureolas blancas en el case,TRUE,,,,Apple,,FALSE
88,C02FT2X6MD6R,MacBook Pro 2019 A2141 (71),427,154,800,MITRE,USADA,i7-9750H 6C,,DDR4,16GB,512GB,,MacOS Sequoia 15.4.1,16'',3072x1920,AMD Radeon PRO 5500M ,4GB,SI,Inglés,Silver,,9-10HS,3 meses,,ok,TRUE,,,,Apple,,FALSE
